Banco,FechaReporte,Indicador,CategoriaIndicador,Saldo,TipoInstitucion
BANCATLAN,2024-01-31,INDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA DIRECTA (SIN CONTINGENTES),2) INDICADORES DE CALIDAD DE ACTIVOS,2.95729624159261,BANCOS COMERCIALES
BANCATLAN,2024-01-31,RATIO DE COBERTURA DE LIQUIDEZ,5) INDICADORES DE CUMPLIMIENTO,133.4485438134966,BANCOS COMERCIALES
BANCATLAN,2024-01-31,RENTABILIDAD SOBRE ACTIVOS (ROA): RESULTADOS EL EJERCICIO (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,4) INDICADORES DE RENTABILIDAD,0.76787448522361,BANCOS COMERCIALES
BANCATLAN,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,9.812587932595571,BANCOS COMERCIALES
BANCATLAN,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,5.26495782007797,BANCOS COMERCIALES
BANCATLAN,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,8.74450287510908,BANCOS COMERCIALES
BANCATLAN,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,3.4795450550311102,BANCOS COMERCIALES
BANCATLAN,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,124.94060010358336,BANCOS COMERCIALES
BANCATLAN,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,17.212686954302082,BANCOS COMERCIALES
BANCATLAN,2024-01-31,ÍNDICE DE LIQUIDEZ: COBERTURA DE DEPÓSITOS DEL PÚBLICO CON ACTIVOS LÍQUIDOS,3) INDICADORES DE LIQUIDEZ,24.59006712187399,BANCOS COMERCIALES
BANCATLAN,2024-01-31,ÍNDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,2.74878090639988,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,20.44185606645474,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,CALCES DE POSICIÓN EN MONEDA EXTRANJERA,5) INDICADORES DE CUMPLIMIENTO,19.3533677072017,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,CARTERA DE TARJETAS DE CRÉDITO/CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,13.137940113252087,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,GASTOS DE ADMINISTRACIÓN (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,6) INDICADORES DE GESTIÓN,2.91379522868076,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,GASTOS DE ADMINISTRACIÓN/INGRESOS TOTALES,6) INDICADORES DE GESTIÓN,32.37466316519432,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,INDICE DE ADECUACIÓN DE CAPITAL,1) INDICADORES DE SOLVENCIA,11.9394803840936,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,INDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA DIRECTA (SIN CONTINGENTES),2) INDICADORES DE CALIDAD DE ACTIVOS,1.00892613637724,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,RATIO DE COBERTURA DE LIQUIDEZ,5) INDICADORES DE CUMPLIMIENTO,117.34188221220454,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,RENTABILIDAD SOBRE ACTIVOS (ROA): RESULTADOS EL EJERCICIO (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,4) INDICADORES DE RENTABILIDAD,1.18446025233436,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,15.95721068862268,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,6.94201231608334,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,10.95230587698782,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,4.01029356090448,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,1747.7882703886817,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,12.34560667202539,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,ÍNDICE DE LIQUIDEZ: COBERTURA DE DEPÓSITOS DEL PÚBLICO CON ACTIVOS LÍQUIDOS,3) INDICADORES DE LIQUIDEZ,20.44185606645474,BANCOS COMERCIALES
BANCO DAVIVIENDA,2024-01-31,ÍNDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,0.97525289906994,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,23.77460580072008,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,CALCES DE POSICIÓN EN MONEDA EXTRANJERA,5) INDICADORES DE CUMPLIMIENTO,-0.1517118606716,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,CARTERA DE TARJETAS DE CRÉDITO/CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,0.0,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,GASTOS DE ADMINISTRACIÓN (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,6) INDICADORES DE GESTIÓN,9.31353360157512,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,GASTOS DE ADMINISTRACIÓN/INGRESOS TOTALES,6) INDICADORES DE GESTIÓN,41.72600924765355,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,INDICE DE ADECUACIÓN DE CAPITAL,1) INDICADORES DE SOLVENCIA,20.65504781873883,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,INDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA DIRECTA (SIN CONTINGENTES),2) INDICADORES DE CALIDAD DE ACTIVOS,2.85720204297974,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,RATIO DE COBERTURA DE LIQUIDEZ,5) INDICADORES DE CUMPLIMIENTO,134.66568432917404,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,RENTABILIDAD SOBRE ACTIVOS (ROA): RESULTADOS EL EJERCICIO (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,4) INDICADORES DE RENTABILIDAD,1.33295849893937,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,8.431664994886171,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,13.86971439640069,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,20.51274555774166,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,6.6430311613409705,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,264.18611766912665,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,14.08224656151742,BANCOS COMERCIALES
BANCO POPULAR,2024-01-31,ÍNDICE DE LIQUIDEZ: COBERTURA DE DEPÓSITOS DEL PÚBLICO CON ACTIVOS LÍQUIDOS,3) INDICADORES DE LIQUIDEZ,25.718461856189467,BANCOS COMERCIALES
